command,pointer,valid,type,channel,head_hex,triple_referenced,triple_sound_indices,direct_source_reference
150,0x009716,True,1,3,01030000,False,,
151,0x009728,True,1,4,01040000,False,,
152,0x00973A,True,1,1,01010000,True,008,
153,0x00974C,True,1,2,01020000,False,,
154,0x00975E,True,1,3,01030000,False,,
155,0x009770,True,1,4,01040000,False,,
156,0x009782,True,1,1,01010000,True,009,
157,0x0097A0,True,1,2,01020000,False,,
158,0x0097BE,True,1,3,01030000,False,,
159,0x0097DC,True,1,4,01040000,False,,
160,0x0097FA,True,1,1,01010000,True,04E,
161,0x00980C,True,1,2,01020000,False,,
162,0x00981E,True,1,3,01030000,False,,
163,0x009830,True,1,4,01040000,False,,
164,0x0097FA,True,1,1,01010000,True,04F,
165,0x00980C,True,1,2,01020000,False,,
166,0x00981E,True,1,3,01030000,False,,
167,0x009830,True,1,4,01040000,False,,
168,0x009842,True,1,1,01010000,True,00E,
169,0x009860,True,1,2,01020000,False,,
170,0x00987E,True,1,3,01030000,False,,
171,0x00989C,True,1,4,01040000,False,,
172,0x0098BA,True,1,1,01010000,True,00F,
173,0x0098D8,True,1,2,01020000,False,,
174,0x0098F6,True,1,3,01030000,False,,
175,0x009914,True,1,4,01040000,False,,
176,0x009932,True,1,1,01010000,True,010 035 040,
177,0x009950,True,1,2,01020000,False,,
178,0x00996E,True,1,3,01030000,False,,
179,0x00998C,True,1,4,01040000,False,,
180,0x0099AA,True,1,1,01010000,True,011,
181,0x0099C8,True,1,2,01020000,False,,
182,0x0099E6,True,1,3,01030000,False,,
183,0x009A04,True,1,4,01040000,False,,
184,0x009A22,True,1,1,01010000,True,012,
185,0x009A40,True,1,2,01020000,False,,
186,0x009A5E,True,1,3,01030000,False,,
187,0x009A7C,True,1,4,01040000,False,,
188,0x009A9A,True,1,1,01010000,True,013,
189,0x009AB8,True,1,2,01020000,False,,
190,0x009AD6,True,1,3,01030000,False,,
191,0x009AF4,True,1,4,01040000,False,,
192,0x009A9A,True,1,1,01010000,True,014,
193,0x009AB8,True,1,2,01020000,False,,
194,0x009AD6,True,1,3,01030000,False,,
195,0x009AF4,True,1,4,01040000,False,,
196,0x009B12,True,1,1,01010000,True,015,
197,0x009B30,True,1,2,01020000,False,,
198,0x009B4E,True,1,3,01030000,False,,
199,0x009B6C,True,1,4,01040000,False,,
200,0x009B8A,True,1,1,01010000,True,016,
201,0x009BA8,True,1,2,01020000,False,,
202,0x009BC6,True,1,3,01030000,False,,
203,0x009BE4,True,1,4,01040000,False,,
204,0x009C02,True,1,1,01010000,True,017,
205,0x009C20,True,1,2,01020000,False,,
206,0x009C3E,True,1,3,01030000,False,,
207,0x009C5C,True,1,4,01040000,False,,
208,0x009C7A,True,1,1,01010000,True,018 0DD,
209,0x009C98,True,1,2,01020000,False,,
210,0x009CB6,True,1,3,01030000,False,,
211,0x009CD4,True,1,4,01040000,False,,
212,0x009CF2,True,1,1,01010000,True,019,
213,0x009D10,True,1,2,01020000,False,,
214,0x009D2E,True,1,3,01030000,False,,
215,0x009D4C,True,1,4,01040000,False,,
216,0x009D6A,True,1,1,01010000,True,01A,
217,0x009D88,True,1,2,01020000,False,,
218,0x009DA6,True,1,3,01030000,False,,
219,0x009DC4,True,1,4,01040000,False,,
220,0x009DE2,True,1,1,01010000,True,01B 034,
221,0x009E00,True,1,2,01020000,False,,
222,0x009E1E,True,1,3,01030000,False,,
223,0x009E3C,True,1,4,01040000,False,,
224,0x009E5A,True,1,1,01010000,True,01C,
225,0x009E78,True,1,2,01020000,False,,
226,0x009E96,True,1,3,01030000,False,,
227,0x009EB4,True,1,4,01040000,False,,
228,0x009ED2,True,1,1,01010000,True,01D,
229,0x009F14,True,1,2,01020000,False,,
230,0x009F56,True,1,3,01030000,False,,
231,0x009F98,True,1,4,01040000,False,,
232,0x009FDA,True,1,1,01010000,True,01E 0A8,
233,0x009FEC,True,1,2,01020000,False,,
234,0x009FFE,True,1,3,01030000,False,,
235,0x00A010,True,1,4,01040000,False,,
236,0x00A022,True,1,1,01010000,True,01F 033,
237,0x00A040,True,1,2,01020000,False,,
238,0x00A05E,True,1,3,01030000,False,,
239,0x00A07C,True,1,4,01040000,False,,
240,0x00A202,True,1,1,01010000,True,020,
241,0x00A214,True,1,2,01020000,False,,
242,0x00A226,True,1,3,01030000,False,,
243,0x00A238,True,1,4,01040000,False,,
244,0x00A09A,True,1,1,01010000,True,021 0CB,
245,0x00A0B8,True,1,2,01020000,False,,
246,0x00A0D6,True,1,3,01030000,False,,
247,0x00A0F4,True,1,4,01040000,False,,
248,0x00A112,True,1,1,01010000,True,022 0CC,
249,0x00A130,True,1,2,01020000,False,,
250,0x00A14E,True,1,3,01030000,False,,
