triple_sound_index_hex,triple_sound_index_dec,dcs_command,valid,track_pointer
0C3,195,1296,True,0x00C444
0C4,196,1516,True,0x00CAA4
0C5,197,1304,True,0x00C4BC
0C6,198,1580,True,0x00CD14
0C7,199,1456,True,0x00C75C
0C8,200,1460,True,0x00C7A4
0C9,201,0,True,0x008E42
0CA,202,0,True,0x008E42
0CB,203,244,True,0x00A09A
0CC,204,248,True,0x00A112
0CD,205,324,True,0x00A45A
0CE,206,1180,True,0x00BA54
0CF,207,1184,True,0x00BACC
0D0,208,1188,True,0x00BB14
0D1,209,1192,True,0x00BB8C
0D2,210,1208,True,0x00BC94
0D3,211,588,True,0x00B08A
0D4,212,592,True,0x00B0D2
0D5,213,596,True,0x00B11A
0D6,214,600,True,0x00B162
0D7,215,468,True,0x00938C
0D8,216,472,True,0x00938C
0D9,217,476,True,0x00938C
0DA,218,480,True,0x00AD2A
0DB,219,484,True,0x00938C
0DC,220,488,True,0x00938C
0DD,221,208,True,0x009C7A
0DE,222,0,True,0x008E42
0DF,223,0,True,0x008E42
0E0,224,3072,True,0x00D5E3
0E1,225,3076,True,0x00D65B
0E2,226,3080,True,0x00D6D3
0E3,227,3084,True,0x00D74B
0E4,228,3088,True,0x00D7C3
0E5,229,3092,True,0x00D83B
0E6,230,3096,True,0x00D8B3
0E7,231,3100,True,0x00D92B
0E8,232,3104,True,0x00D9A3
0E9,233,3108,True,0x00DA1B
0EA,234,3112,True,0x00DA93
0EB,235,3116,True,0x00DB0B
0EC,236,3120,True,0x00DB83
0ED,237,3124,True,0x00DBFB
0EE,238,3128,True,0x00DC73
0EF,239,3132,True,0x00DCEB
0F0,240,3136,True,0x00DD63
0F1,241,3140,True,0x00DDDB
0F2,242,3144,True,0x00DE53
0F3,243,3148,True,0x00DEEB
0F4,244,3152,True,0x00DF63
0F5,245,3156,True,0x00DFDB
0F6,246,3160,True,0x00E053
0F7,247,3164,True,0x00E0CB
0F8,248,3168,True,0x00E143
0F9,249,3172,True,0x00E1BB
0FA,250,3176,True,0x00E233
0FB,251,3180,True,0x00E2AB
0FC,252,3184,True,0x00E323
0FD,253,3188,True,0x00E39B
0FE,254,3192,True,0x00E413
0FF,255,3196,True,0x00E48B
100,256,3200,True,0x00E503
101,257,3204,True,0x00E57B
102,258,3208,True,0x00E5F3
103,259,3212,True,0x00E66B
104,260,3216,True,0x00E6E3
105,261,3220,True,0x00E75B
106,262,3224,True,0x00E7D3
107,263,3228,True,0x00E84B
108,264,3232,True,0x00E8C3
109,265,3236,True,0x00E93B
10A,266,3240,True,0x00E9D3
10B,267,3244,True,0x00EA6B
10C,268,3248,True,0x00EB03
10D,269,3252,True,0x00EB9B
10E,270,3256,True,0x00EC33
10F,271,3260,True,0x00ECCB
110,272,3264,True,0x00ED63
111,273,3412,True,0x00FC1B
112,274,3416,True,0x00FCB3
113,275,3420,True,0x00FD4B
114,276,3424,True,0x00FDE3
115,277,3428,True,0x00FE7B
116,278,3432,True,0x00FF13
117,279,3436,True,0x00FFAB
118,280,3440,True,0x010043
119,281,3444,True,0x0100DB
11A,282,3448,True,0x010173
11B,283,3452,True,0x01020B
11C,284,3456,True,0x0102A3
11D,285,3460,True,0x01033B
11E,286,3464,True,0x0103D3
11F,287,3468,True,0x01046B
120,288,3472,True,0x010503
121,289,3476,True,0x01059B
122,290,3480,True,0x010633
123,291,3484,True,0x0106CB
124,292,3488,True,0x010763
125,293,3492,True,0x0107FB
126,294,3496,True,0x010893
127,295,3500,True,0x01092B
128,296,3504,True,0x0109C3
129,297,3360,True,0x00F85B
12A,298,3356,True,0x00F7E3
12B,299,3640,True,0x011613
12C,300,3644,True,0x01168B
12D,301,3648,True,0x011703
12E,302,3652,True,0x01177B
12F,303,3656,True,0x0117F3
130,304,3660,True,0x01186B
131,305,3664,True,0x0118E3
132,306,3668,True,0x01195B
133,307,3672,True,0x0119D3
134,308,3228,True,0x00E84B
135,309,3232,True,0x00E8C3
136,310,3628,True,0x0114AB
137,311,3528,False,0xFFFFFF
138,312,3508,True,0x010A5B
139,313,3512,True,0x010AD3
13A,314,3516,True,0x010B4B
13B,315,3532,True,0x010BC3
13C,316,3564,True,0x010F0B
13D,317,3300,True,0x00F2BB
13E,318,3328,True,0x00F603
13F,319,3368,True,0x00F94B
140,320,3380,False,0xFFFFFF
141,321,3384,True,0x00FA3B
142,322,3388,True,0x00FA3B
143,323,3556,True,0x010E93
144,324,3568,True,0x010F83
145,325,3396,True,0x00FAB3
146,326,3400,True,0x00FB2B
147,327,3392,True,0x00FAB3
148,328,3316,True,0x00F49B
149,329,3320,True,0x00F513
14A,330,3324,True,0x00F58B
14B,331,3332,True,0x00F67B
14C,332,3336,True,0x00F6F3
14D,333,3340,False,0xFFFFFF
14E,334,3352,True,0x00F76B
14F,335,3364,True,0x00F8D3
150,336,3372,True,0x00F9C3
151,337,3376,True,0x00F9C3
152,338,3404,True,0x00FBA3
153,339,3536,True,0x010C3B
154,340,3540,True,0x010CB3
155,341,3544,True,0x010D2B
156,342,3548,True,0x010DA3
157,343,3312,True,0x00F423
158,344,3308,True,0x00F3AB
159,345,3580,True,0x010FFB
15A,346,3584,True,0x011073
15B,347,3588,True,0x0110EB
15C,348,3592,True,0x011163
15D,349,0,True,0x008E42
15E,350,3600,True,0x0111DB
15F,351,3604,True,0x011253
160,352,3608,True,0x0112CB
161,353,3612,True,0x011343
162,354,3616,True,0x0113BB
163,355,0,True,0x008E42
164,356,3624,True,0x011433
165,357,3632,True,0x011523
166,358,3636,True,0x01159B
167,359,3268,True,0x00EDFB
168,360,3272,True,0x00EE93
169,361,3276,True,0x00EF2B
16A,362,3280,True,0x00EFC3
16B,363,3284,True,0x00F05B
16C,364,3288,True,0x00F0F3
16D,365,3292,True,0x00F18B
16E,366,3296,True,0x00F223
16F,367,3680,True,0x011AC3
170,368,3684,True,0x011B3B
171,369,3688,True,0x011BB3
172,370,3692,False,0xFFFFFF
173,371,3696,False,0xFFFFFF
174,372,3700,False,0xFFFFFF
175,373,3704,False,0xFFFFFF
176,374,3708,False,0xFFFFFF
177,375,3712,False,0xFFFFFF
178,376,3716,False,0xFFFFFF
179,377,3720,False,0xFFFFFF
17A,378,3724,True,0x011C2B
17B,379,3728,True,0x011CA3
17C,380,0,True,0x008E42
17D,381,3736,True,0x011D1B
17E,382,3740,True,0x011D93
17F,383,3744,True,0x011E0B
180,384,3748,True,0x011E83
181,385,3752,True,0x011EFB
182,386,3756,True,0x011F73
183,387,3760,True,0x011FEB
184,388,3764,True,0x012063
185,389,3768,True,0x0120DB
186,390,0,True,0x008E42
187,391,3776,True,0x012153
188,392,3780,True,0x0121CB
189,393,0,True,0x008E42
18A,394,3788,True,0x012263
18B,395,3792,True,0x0122FB
18C,396,3796,True,0x012373
18D,397,3800,True,0x0123EB
18E,398,3804,False,0xFFFFFF
18F,399,3808,True,0x012483
190,400,3992,True,0x012FC3
191,401,3996,True,0x01303B
192,402,4000,True,0x0130B3
193,403,0,True,0x008E42
194,404,0,True,0x008E42
195,405,0,True,0x008E42
196,406,0,True,0x008E42
197,407,0,True,0x008E42
198,408,3844,True,0x0124FB
199,409,0,True,0x008E42
19A,410,3852,True,0x012573
19B,411,3856,True,0x0125EB
19C,412,3860,True,0x012663
19D,413,3864,True,0x0126DB
19E,414,3868,True,0x012753
19F,415,3872,True,0x0127CB
1A0,416,3876,True,0x012843
1A1,417,3880,True,0x0128BB
1A2,418,3884,True,0x012933
1A3,419,3888,True,0x0129AB
1A4,420,3892,True,0x012A23
1A5,421,3896,True,0x012A9B
1A6,422,3900,True,0x012B13
1A7,423,3904,True,0x012B8B
1A8,424,3908,True,0x012C03
1A9,425,0,True,0x008E42
1AA,426,3916,True,0x012C7B
1AB,427,0,True,0x008E42
1AC,428,3924,True,0x012CF3
1AD,429,3928,True,0x012D6B
1AE,430,3932,True,0x012DE3
1AF,431,0,True,0x008E42
1B0,432,0,True,0x008E42
1B1,433,0,True,0x008E42
1B2,434,0,True,0x008E42
1B3,435,0,True,0x008E42
1B4,436,0,True,0x008E42
1B5,437,0,True,0x008E42
1B6,438,0,True,0x008E42
1B7,439,0,True,0x008E42
