command,pointer,valid,type,channel,triple_sound_indices,direct_source_reference
1364,0xFFFFFF,False,,,0B7,
1368,0xFFFFFF,False,,,0B8,
1376,0x00C534,True,1,1,048,
1436,0x00C5AC,True,1,1,043,
1440,0xFFFFFF,False,,,044,
1444,0x00C624,True,1,1,045,
1448,0x00C69C,True,1,1,03E,
1452,0x00C714,True,1,1,03F,
1456,0x00C75C,True,1,1,0C7,
1460,0x00C7A4,True,1,1,0C8,
1472,0x00C7EC,True,1,1,0BC,
1476,0x00C834,True,1,1,0BD,
1480,0x00C87C,True,1,1,003,
1484,0x00C8C4,True,1,1,0B9,
1488,0x00C90C,True,1,1,0BA,
1492,0x00C954,True,1,1,09B,
1512,0x00CA5C,True,1,1,049,
1516,0x00CAA4,True,1,1,0C4,
1520,0x00CAEC,True,1,1,0BB,
1528,0xFFFFFF,False,,,07D,
1536,0xFFFFFF,False,,,07E,
1544,0xFFFFFF,False,,,07F,
1552,0xFFFFFF,False,,,080,
1556,0x00CB34,True,1,1,04A,
1560,0x00CB7C,True,1,1,04B,
1564,0x00CBC4,True,1,1,04C,
1568,0x00CC0C,True,1,1,04D,
1576,0x00CCCC,True,1,1,0A9,
1580,0x00CD14,True,1,1,0C6,
1600,0x00CD8C,True,1,1,290,
1604,0x00CDD4,True,1,1,291,
1608,0x00CE1C,True,1,1,292,
1612,0x00CE64,True,1,1,293,
1616,0x00CEAC,True,1,1,039 294,
1620,0x00D164,True,1,1,295,
1624,0x00D1AC,True,1,1,296,
1628,0x00D1F4,True,1,1,297,
1632,0x00D25C,True,1,1,298,
1636,0x00D2C4,True,1,1,299,
2560,0x00D47B,True,1,1,1FB,
2564,0x00D4C3,True,1,1,1FC,
2568,0x00D50B,True,1,1,1FD,
2572,0x00D553,True,1,1,1FF,
2576,0x00D59B,True,1,1,1FE,
3072,0x00D5E3,True,1,1,0E0,
3076,0x00D65B,True,1,1,0E1,
3080,0x00D6D3,True,1,1,0E2,
3084,0x00D74B,True,1,1,0E3,
3088,0x00D7C3,True,1,1,0E4,
3092,0x00D83B,True,1,1,0E5,
3096,0x00D8B3,True,1,1,0E6,
3100,0x00D92B,True,1,1,0E7,
3104,0x00D9A3,True,1,1,0E8,
3108,0x00DA1B,True,1,1,0E9,
3112,0x00DA93,True,1,1,0EA,
3116,0x00DB0B,True,1,1,0EB,
3120,0x00DB83,True,1,1,0EC,
3124,0x00DBFB,True,1,1,0ED,
3128,0x00DC73,True,1,1,0EE,
3132,0x00DCEB,True,1,1,0EF,
3136,0x00DD63,True,1,1,0F0,
3140,0x00DDDB,True,1,1,0F1,
3144,0x00DE53,True,1,1,0F2,
3148,0x00DEEB,True,1,1,0F3,
3152,0x00DF63,True,1,1,0F4,
3156,0x00DFDB,True,1,1,0F5,
3160,0x00E053,True,1,1,0F6,
3164,0x00E0CB,True,1,1,0F7,
3168,0x00E143,True,1,1,0F8,
3172,0x00E1BB,True,1,1,0F9,
3176,0x00E233,True,1,1,0FA,
3180,0x00E2AB,True,1,1,0FB,
3184,0x00E323,True,1,1,0FC,
3188,0x00E39B,True,1,1,0FD,
3192,0x00E413,True,1,1,0FE,
3196,0x00E48B,True,1,1,0FF,
3200,0x00E503,True,1,1,100,
3204,0x00E57B,True,1,1,101,
3208,0x00E5F3,True,1,1,102,
3212,0x00E66B,True,1,1,103,
3216,0x00E6E3,True,1,1,104,
3220,0x00E75B,True,1,1,105,
3224,0x00E7D3,True,1,1,106,
3228,0x00E84B,True,1,1,107 134,
3232,0x00E8C3,True,1,1,108 135,
3236,0x00E93B,True,1,1,109,
3240,0x00E9D3,True,1,1,10A,
3244,0x00EA6B,True,1,1,10B,
3248,0x00EB03,True,1,1,10C,
3252,0x00EB9B,True,1,1,10D,
3256,0x00EC33,True,1,1,10E,
3260,0x00ECCB,True,1,1,10F,
3264,0x00ED63,True,1,1,110,
3268,0x00EDFB,True,1,1,167,
3272,0x00EE93,True,1,1,168,
3276,0x00EF2B,True,1,1,169,
3280,0x00EFC3,True,1,1,16A,
3284,0x00F05B,True,1,1,16B,
3288,0x00F0F3,True,1,1,16C,
3292,0x00F18B,True,1,1,16D,
3296,0x00F223,True,1,1,16E,
3300,0x00F2BB,True,1,1,13D,
3308,0x00F3AB,True,1,1,158,
3312,0x00F423,True,1,1,157,
3316,0x00F49B,True,1,1,148,
3320,0x00F513,True,1,1,149,
3324,0x00F58B,True,1,1,14A,
3328,0x00F603,True,1,1,13E,
3332,0x00F67B,True,1,1,14B,
3336,0x00F6F3,True,1,1,14C,
3340,0xFFFFFF,False,,,14D,
3352,0x00F76B,True,1,1,14E,
3356,0x00F7E3,True,1,1,12A,
3360,0x00F85B,True,1,1,129,
3364,0x00F8D3,True,1,1,14F,
3368,0x00F94B,True,1,1,13F,
3372,0x00F9C3,True,1,1,150,
3376,0x00F9C3,True,1,1,151,
3380,0xFFFFFF,False,,,140,
3384,0x00FA3B,True,1,1,141,
3388,0x00FA3B,True,1,1,142,
3392,0x00FAB3,True,1,1,147,
3396,0x00FAB3,True,1,1,145,
3400,0x00FB2B,True,1,1,146,
3404,0x00FBA3,True,1,1,152,
3412,0x00FC1B,True,1,1,111,
3416,0x00FCB3,True,1,1,112,
3420,0x00FD4B,True,1,1,113,
3424,0x00FDE3,True,1,1,114,
3428,0x00FE7B,True,1,1,115,
3432,0x00FF13,True,1,1,116,
