address,stream_channel,repeat,frames,chip,chip_offset
2332850,1,1,62,4,235698
2334316,1,1,130,4,237164
2337840,1,1,63,4,240688
2339300,1,1,68,4,242148
2340958,1,1,61,4,243806
2342612,1,1,202,4,245460
2347358,1,1,224,4,250206
2353536,1,1,174,4,256384
2368536,1,1,89,4,271384
2372350,1,1,84,4,275198
2376520,1,1,229,4,279368
2475776,1,1,129,4,378624
2484814,1,1,280,4,387662
2491682,1,1,46,4,394530
2493354,1,1,46,4,396202
2495226,1,1,540,4,398074
2508210,2,1,93,4,411058
2510534,1,1,250,4,413382
2517590,1,1,120,4,420438
2521014,1,1,107,4,423862
2524240,1,1,137,4,427088
2528286,1,1,165,4,431134
2532968,1,1,116,4,435816
2536298,1,1,111,4,439146
2539586,1,1,120,4,442434
2542834,1,1,210,4,445682
2548694,1,1,98,4,451542
2551768,1,1,94,4,454616
2557302,1,1,97,4,460150
2564398,1,1,173,4,467246
2569486,1,1,134,4,472334
2572936,1,1,189,4,475784
2578286,1,1,134,4,481134
2581778,1,1,159,4,484626
2592830,1,1,237,4,495678
2599706,1,1,156,4,502554
2604296,1,1,123,4,507144
2607994,1,1,192,4,510842
2612966,1,1,130,4,515814
2616310,1,1,140,4,519158
2620130,1,1,200,4,522978
2625400,1,1,203,4,528248
2630914,1,1,121,4,533762
2634110,1,1,147,4,536958
2638338,1,1,141,4,541186
2641964,1,1,210,4,544812
2647742,1,1,191,4,550590
2653440,1,1,186,4,556288
2658352,1,1,531,4,561200
2673232,1,1,199,4,576080
2703668,1,1,66,4,606516
2705322,1,1,37,4,608170
2706706,1,1,39,4,609554
2708042,1,1,46,4,610890
2709594,1,1,148,4,612442
2713884,1,1,93,4,616732
2715540,1,1,62,4,618388
2717096,1,1,113,4,619944
2719828,1,1,92,4,622676
2722238,1,1,184,4,625086
2728922,1,1,164,4,631770
2733718,1,1,62,4,636566
2735118,1,1,78,4,637966
2832660,1,1,81,4,735508
2834150,1,1,215,4,736998
2837942,1,1,16,4,740790
2838652,1,1,356,4,741500
2846950,1,1,133,4,749798
2850358,1,1,121,4,753206
2853480,1,1,75,4,756328
2855104,1,1,69,4,757952
2856778,1,1,75,4,759626
2858618,1,1,78,4,761466
2860542,1,1,260,4,763390
2866972,1,1,101,4,769820
2869188,1,1,105,4,772036
2871750,1,1,134,4,774598
2875056,1,1,247,4,777904
2880692,1,1,174,4,783540
2884704,1,1,155,4,787552
2893092,1,1,143,4,795940
2896394,1,1,222,4,799242
2906088,1,1,203,4,808936
2910660,1,1,168,4,813508
2918172,1,1,155,4,821020
2921516,1,1,176,4,824364
2925618,1,1,147,4,828466
2929142,1,1,174,4,831990
2933212,1,1,112,4,836060
2935702,1,1,60,4,838550
2937074,1,1,172,4,839922
2941050,1,1,78,4,843898
2943068,1,1,174,4,845916
2946764,1,1,78,4,849612
2948502,1,1,61,4,851350
2950070,1,1,307,4,852918
2957332,1,1,206,4,860180
2961776,1,1,65,4,864624
2963466,1,1,214,4,866314
2968506,1,1,147,4,871354
2971684,1,1,252,4,874532
2977658,1,1,162,4,880506
2981274,1,1,127,4,884122
2988432,1,1,63,4,891280
2989798,1,1,73,4,892646
2991440,1,1,265,4,894288
2997710,1,1,131,4,900558
3000844,1,1,64,4,903692
3002272,1,1,110,4,905120
3004570,1,1,103,4,907418
3007034,1,1,121,4,909882
3009536,1,1,126,4,912384
3012150,1,1,128,4,914998
3014930,1,1,157,4,917778
3018412,1,1,176,4,921260
3022246,1,1,79,4,925094
3024036,1,1,220,4,926884
3028656,1,1,90,4,931504
3030694,1,1,156,4,933542
3034354,1,1,151,4,937202
3037634,1,1,66,4,940482
3039056,1,1,62,4,941904
3040576,1,1,60,4,943424
3042066,1,1,81,4,944914
3049146,1,1,296,4,951994
3145742,1,1,56,5,14
3146968,1,1,54,5,1240
3148164,1,1,382,5,2436
3188012,1,1,183,5,42284
3214200,1,1,145,5,68472
3217736,1,1,86,5,72008
3219958,1,1,85,5,74230
3222144,1,1,48,5,76416
3223350,1,1,45,5,77622
3224446,1,1,54,5,78718
3225628,1,1,57,5,79900
3227122,1,1,51,5,81394
3228340,1,1,98,5,82612
3229854,1,1,62,5,84126
3231186,1,1,46,5,85458
3232218,1,1,48,5,86490
3233446,1,1,96,5,87718
3235604,1,1,125,5,89876
3238492,1,1,99,5,92764
3241176,1,1,78,5,95448
3242876,1,1,66,5,97148
3244752,1,1,92,5,99024
3246594,1,1,34,5,100866
3247900,1,1,41,5,102172
3249028,1,1,94,5,103300
3252352,1,1,94,5,106624
3254946,1,1,266,5,109218
3262364,1,1,52,5,116636
3267010,1,1,42,5,121282
3270658,1,1,167,5,124930
3275462,1,1,213,5,129734
3287790,1,1,241,5,142062
3309310,1,1,166,5,163582
3316206,1,1,113,5,170478
3319186,1,1,111,5,173458
3322018,1,1,122,5,176290
3324948,1,1,39,5,179220
3325694,1,1,40,5,179966
3326496,1,1,48,5,180768
3327416,1,1,94,5,181688
3329768,1,1,48,5,184040
3330978,1,1,60,5,185250
3336714,1,1,293,5,190986
3342894,1,1,143,5,197166
3346592,1,1,103,5,200864
3348892,1,1,148,5,203164
3352870,1,1,94,5,207142
3355364,1,1,126,5,209636
3358228,1,1,39,5,212500
3359194,1,1,104,5,213466
